OBJECTID,from_lng_mars,from_lat_mars,to_lng_mars,to_lat_mars,isOK
612,120.3465967,31.56905104,120.3456462,31.57025657,1
613,120.32748,31.565997,120.335323,31.571392,1
614,120.3427567,31.57213181,120.3467141,31.56864013,1
615,120.3394306,31.57376424,120.3427567,31.57213181,1
616,120.3363124,31.5753041,120.3374812,31.57472699,1
617,120.3315122,31.5785221,120.3363124,31.5753041,1
618,120.3359542,31.57535452,120.3349771,31.57145662,1
619,120.335337,31.575655,120.33589,31.575358,1
620,120.3315555,31.5788479,120.3272981,31.5929075,1
621,120.3374363,31.57491292,120.3315555,31.5788479,1
622,120.3307714,31.58223627,120.3306422,31.58328538,1
623,120.3321489,31.57827581,120.3307714,31.58223627,1
624,120.326481,31.59412089,120.3315122,31.5785221,1
625,120.3207397,31.60336297,120.326481,31.59412089,1
626,120.3211564,31.60328934,120.310318,31.60439739,1
627,120.3265718,31.59446397,120.3211564,31.60328934,1
628,120.314766,31.604332,120.32075,31.603421,1
638,120.3262511,31.59438266,120.3287215,31.58896036,1
648,120.2980462,31.60564087,120.3093959,31.60427861,1
649,120.2931438,31.60993777,120.2980462,31.60564087,1
650,120.297837,31.605947,120.292302,31.61032,1
651,120.311655,31.604449,120.298366,31.605601,1
652,120.296152,31.608183,120.295994,31.607841,1
652,120.296081,31.607716,120.296249,31.608038,1
653,120.296091,31.607673,120.296407,31.607191,1
654,120.295938,31.60775,120.29558,31.607108,1
654,120.29571,31.607103,120.296026,31.607633,1
655,120.2913994,31.61028808,120.2960295,31.60775431,1
657,120.296144,31.608236,120.29585,31.608599,1
658,120.3023099,31.60485632,120.2962384,31.60814041,1
659,120.2957691,31.60871086,120.2921169,31.61056132,1
661,120.2910334,31.61050592,120.2931438,31.60993777,1
667,120.313382,31.603392,120.310295,31.597408,1
668,120.3144679,31.6060876,120.313629,31.60379786,1
669,120.3093959,31.60427861,120.3144073,31.60436686,1
670,120.289448,31.61069023,120.2913994,31.61028808,1
671,120.2921169,31.61056132,120.2897749,31.61132484,1
672,120.2870806,31.61127339,120.289448,31.61069023,1
673,120.2846365,31.61201785,120.2870806,31.61127339,1
674,120.2897749,31.61132484,120.2886072,31.61155771,1
675,120.2886072,31.61155771,120.2853483,31.61222244,1
683,120.2849926,31.61285925,120.2874646,31.61560899,1
685,120.2700382,31.55371992,120.2701408,31.55541882,1
686,120.2711925,31.53172161,120.2700382,31.55371992,1
687,120.2701386,31.54890366,120.2700382,31.55371992,1
688,120.2698045,31.55372758,120.2697056,31.55159664,1
689,120.2698045,31.55372758,120.2707472,31.53519761,1
690,120.2699223,31.55542749,120.2698045,31.55372758,1
691,120.2701408,31.55541882,120.2668413,31.56787635,1
692,120.2701408,31.55541882,120.2699502,31.5591796,1
