OBJECTID,distance,duation,status,time
1669,379.000000,45.000000,畅通,<module 'time' (built-in)>
1677,231.000000,35.000000,畅通,<module 'time' (built-in)>
1693,454.000000,58.000000,畅通,<module 'time' (built-in)>
1696,202.000000,19.000000,畅通,<module 'time' (built-in)>
1697,149.000000,26.000000,畅通,<module 'time' (built-in)>
1701,153.000000,39.000000,畅通,<module 'time' (built-in)>
1707,183.000000,33.000000,畅通,<module 'time' (built-in)>
1709,175.000000,30.000000,畅通,<module 'time' (built-in)>
1723,249.000000,21.000000,畅通,<module 'time' (built-in)>
1732,538.000000,58.000000,畅通,<module 'time' (built-in)>
1740,691.000000,69.000000,畅通,<module 'time' (built-in)>
1742,483.000000,57.000000,畅通,<module 'time' (built-in)>
1743,115.000000,11.000000,畅通,<module 'time' (built-in)>
1754,120.000000,11.000000,畅通,<module 'time' (built-in)>
1777,153.000000,14.000000,畅通,<module 'time' (built-in)>
1778,727.000000,56.000000,畅通,<module 'time' (built-in)>
1783,394.000000,33.000000,畅通,<module 'time' (built-in)>
1798,441.000000,53.000000,畅通,<module 'time' (built-in)>
1808,302.000000,31.000000,畅通,<module 'time' (built-in)>
1827,584.000000,51.000000,畅通,<module 'time' (built-in)>
1836,587.000000,48.000000,畅通,<module 'time' (built-in)>
1839,202.000000,15.000000,畅通,<module 'time' (built-in)>
1850,134.000000,11.000000,畅通,<module 'time' (built-in)>
1851,152.000000,22.000000,畅通,<module 'time' (built-in)>
1857,230.000000,43.000000,缓行,<module 'time' (built-in)>
1864,217.000000,45.000000,畅通,<module 'time' (built-in)>
1867,591.000000,74.000000,畅通,<module 'time' (built-in)>
1876,182.000000,28.000000,畅通,<module 'time' (built-in)>
1887,115.000000,40.000000,畅通,<module 'time' (built-in)>
1889,312.000000,49.000000,畅通,<module 'time' (built-in)>
1903,1970.000000,136.000000,畅通,<module 'time' (built-in)>
1904,4571.000000,283.000000,畅通,<module 'time' (built-in)>
1907,664.000000,92.000000,畅通,<module 'time' (built-in)>
1911,104.000000,14.000000,畅通,<module 'time' (built-in)>
1912,597.000000,51.000000,畅通,<module 'time' (built-in)>
1916,436.000000,30.000000,畅通,<module 'time' (built-in)>
1922,453.000000,109.000000,畅通,<module 'time' (built-in)>
1924,580.000000,70.000000,畅通,<module 'time' (built-in)>
1931,308.000000,31.000000,畅通,<module 'time' (built-in)>
1933,228.000000,38.000000,畅通,<module 'time' (built-in)>
1934,381.000000,90.000000,畅通,<module 'time' (built-in)>
1938,687.000000,181.000000,畅通,<module 'time' (built-in)>
1945,879.000000,118.000000,畅通,<module 'time' (built-in)>
1950,137.000000,15.000000,畅通,<module 'time' (built-in)>
1951,236.000000,14.000000,畅通,<module 'time' (built-in)>
1952,747.000000,43.000000,畅通,<module 'time' (built-in)>
1953,2764.000000,188.000000,畅通,<module 'time' (built-in)>
1955,672.000000,103.000000,畅通,<module 'time' (built-in)>
1956,865.000000,59.000000,畅通,<module 'time' (built-in)>
1957,523.000000,71.000000,畅通,<module 'time' (built-in)>
1961,354.000000,84.000000,畅通,<module 'time' (built-in)>
1970,1134.000000,103.000000,畅通,<module 'time' (built-in)>
1973,473.000000,80.000000,缓行,<module 'time' (built-in)>
1976,278.000000,43.000000,畅通,<module 'time' (built-in)>
1977,611.000000,54.000000,畅通,<module 'time' (built-in)>
1980,2550.000000,193.000000,畅通,<module 'time' (built-in)>
1993,173.000000,46.000000,畅通,<module 'time' (built-in)>
1994,503.000000,37.000000,畅通,<module 'time' (built-in)>
1995,382.000000,42.000000,畅通,<module 'time' (built-in)>
2002,595.000000,83.000000,畅通,<module 'time' (built-in)>
2009,3333.000000,522.000000,畅通,<module 'time' (built-in)>
2016,292.000000,32.000000,畅通,<module 'time' (built-in)>
2017,253.000000,25.000000,畅通,<module 'time' (built-in)>
2024,470.000000,26.000000,畅通,<module 'time' (built-in)>
