OBJECTID,distance,duration,status,time
1873,224,15,畅通,Fri Mar  9 11:47:10 2018
1876,182,32,畅通,Fri Mar  9 11:47:10 2018
1882,153,19,未知,Fri Mar  9 11:47:10 2018
1887,115,16,畅通,Fri Mar  9 11:47:10 2018
1889,312,65,畅通,Fri Mar  9 11:47:10 2018
1903,1970,132,畅通,Fri Mar  9 11:47:10 2018
1904,4571,273,畅通,Fri Mar  9 11:47:11 2018
1906,268,27,畅通,Fri Mar  9 11:47:11 2018
1907,664,65,畅通,Fri Mar  9 11:47:11 2018
1911,104,16,畅通,Fri Mar  9 11:47:11 2018
1912,597,53,畅通,Fri Mar  9 11:47:11 2018
1915,628,98,畅通,Fri Mar  9 11:47:11 2018
1916,436,26,畅通,Fri Mar  9 11:47:11 2018
1917,1007,144,畅通,Fri Mar  9 11:47:11 2018
1921,621,120,畅通,Fri Mar  9 11:47:12 2018
1922,453,96,畅通,Fri Mar  9 11:47:12 2018
1924,580,81,畅通,Fri Mar  9 11:47:12 2018
1925,2439,339,畅通,Fri Mar  9 11:47:12 2018
1927,201,42,畅通,Fri Mar  9 11:47:12 2018
1930,794,154,畅通,Fri Mar  9 11:47:12 2018
1931,308,29,畅通,Fri Mar  9 11:47:12 2018
1933,228,42,畅通,Fri Mar  9 11:47:12 2018
1934,381,75,畅通,Fri Mar  9 11:47:13 2018
1936,184,20,畅通,Fri Mar  9 11:47:13 2018
1938,687,145,畅通,Fri Mar  9 11:47:13 2018
1940,181,49,畅通,Fri Mar  9 11:47:13 2018
1941,251,33,畅通,Fri Mar  9 11:47:13 2018
1945,879,145,畅通,Fri Mar  9 11:47:13 2018
1949,634,92,畅通,Fri Mar  9 11:47:13 2018
1950,137,16,畅通,Fri Mar  9 11:47:14 2018
1951,236,14,畅通,Fri Mar  9 11:47:14 2018
1952,747,46,畅通,Fri Mar  9 11:47:14 2018
1953,2764,191,畅通,Fri Mar  9 11:47:14 2018
1955,673,91,畅通,Fri Mar  9 11:47:14 2018
1956,865,53,畅通,Fri Mar  9 11:47:14 2018
1957,528,87,畅通,Fri Mar  9 11:47:14 2018
1961,354,64,畅通,Fri Mar  9 11:47:14 2018
1963,184,28,畅通,Fri Mar  9 11:47:15 2018
1970,1134,107,畅通,Fri Mar  9 11:47:15 2018
1973,473,62,畅通,Fri Mar  9 11:47:15 2018
1976,278,36,畅通,Fri Mar  9 11:47:15 2018
1977,611,58,畅通,Fri Mar  9 11:47:15 2018
1978,980,89,畅通,Fri Mar  9 11:47:15 2018
1980,2550,224,畅通,Fri Mar  9 11:47:16 2018
1981,420,61,畅通,Fri Mar  9 11:47:16 2018
1993,173,43,畅通,Fri Mar  9 11:47:16 2018
1994,503,39,畅通,Fri Mar  9 11:47:16 2018
1995,382,40,畅通,Fri Mar  9 11:47:16 2018
1996,622,58,畅通,Fri Mar  9 11:47:16 2018
2002,595,121,畅通,Fri Mar  9 11:47:16 2018
2009,3333,571,缓行,Fri Mar  9 11:47:17 2018
2011,1396,216,畅通,Fri Mar  9 11:47:17 2018
2013,1018,70,畅通,Fri Mar  9 11:47:17 2018
2014,350,28,畅通,Fri Mar  9 11:47:17 2018
