OBJECTID,access,bridge,from_,highway,key,lanes,length,maxspeed,name,oneway,osmid,ref,to,tunnel,Shape_Length,from_lat,from_lng,to_lng,to_lat,from_lat_mars,from_lng_mars,to_lat_mars,to_lng_mars
1144, ,yes,2302221689,secondary,0,2,839.9076932725847, ,开源大桥,True,"[221166546, 221166771, 221166085]", ,2302220398, ,838.9801419232059,31.5678003,120.2844886,120.280252,31.5613821,31.565877229984068,120.28907337646255,31.559453650660725,120.28483355136619
1145, , ,2302224143,tertiary,0, ,38.270520403882585, ,健康路,False,146661804, ,2302224138, ,38.35760244476881,31.5661607,120.2837449,120.28334879999998,31.5662282,31.56423661448092,120.2883290188308,31.564303645149753,120.2879326576575
1146, , ,2302224142,primary,0,3,158.96404452911656, ,运河东路,True,223848638, ,2305306727, ,158.896702262976,31.5646451,120.2818639,120.2807914,31.5657445,31.56271869811057,120.2864466712816,31.563816964859644,120.28537363020273
1147, , ,2302224148,primary,0,3,33.88476849997315, ,运河东路,True,223848638, ,2302224142, ,33.880864501504924,31.5644235,120.2821094,120.2818639,31.5646451,31.562497364442898,120.28669230371968,31.56271869811057,120.2864466712816
1148, , ,2327083440,primary,0,4,294.3113149554539, ,运河西路,False,223848720, ,2302228983, ,294.16812384176814,31.5642001,120.2806061,120.282559,31.562143199999998,31.562272249087307,120.28518809181784,31.560217418859725,120.28714199068216
1149, ,yes,2302243853,secondary,0,2,1050.6131005428037, ,北桥,True,"[334442768, 221167232, 221168669]", ,2302228984, ,1048.0963659603863,31.550966100000004,120.2795501,120.2803325,31.56039,31.54903603476457,120.28413037698665,31.558461563335513,120.2849140105969
1150, , ,2697548316,secondary,0, ,61.14755732097701, ,湖滨路,False,245936328, ,2302230333, ,61.11950789019593,31.5640754,120.2768796,120.2772883,31.563649800000004,31.56214363440353,120.28145973790424,31.561718410057775,120.2818685771939
1151, ,yes,2384971930,secondary,0, ,348.8125040310414, ,"['建筑路', '尺马渚桥']",False,"[64234192, 227772217, 227772218]", ,2302243853, ,349.58006731571174,31.5516815,120.2831316,120.2795501,31.550966100000004,31.549755543434998,120.2877140618529,31.54903603476457,120.28413037698665
1152, , ,2302243873,secondary,0, ,21.723002676587868, ,建筑路,False,64234192, ,2302243853, ,21.76986216373759,31.5509177,120.279328,120.2795501,31.550966100000004,31.548987392739654,120.28390815700338,31.54903603476457,120.28413037698665
1153, , ,2429841403,secondary,0,2,448.88770516940576, ,湖滨路,True,334442768, ,2302243853, ,447.80739330171684,31.5469353,120.2793086,120.2795501,31.550966100000004,31.545004610010228,120.283888404513,31.54903603476457,120.28413037698665
