OBJECTID,access,bridge,from_,highway,key,lanes,length,maxspeed,name,oneway,osmid,ref,to,tunnel,Shape_Length
25, , ,4198817900,primary,0,2,2102.4182547168707, ,兴源路,True,419888327, ,313736102, ,2100.341037825256500
26, , ,313736149,primary,0, ,13.927063478270897, ,兴源路,True,147866731, ,2073509914, ,13.958925615514294
27, , ,2429836056,primary,0,2,733.1935012978777, ,兴源路,True,"[64226713, 221498422]", ,313736149, ,734.117263847101640
28, , ,2457708539,primary,0, ,109.84425733582634, ,县前东街,False,64226712, ,313736389, ,109.969555294634230
29, , ,313736389,secondary,0,3,238.7146684500895,40,解放南路,True,47687414, ,606791949, ,239.089683989508870
30, , ,606940788,primary,0, ,183.80973159541855, ,县前东街,False,147964597, ,313736389, ,183.791630411793220
31, , ,2305257984,secondary,0,2,144.90916256424566,40,解放东路,False,64226766, ,313736389, ,145.073927845262690
32, , ,4198794692,secondary,0,3,241.85631858414615,40,解放南路,True,419888356, ,313736389, ,242.262379525983450
33, , ,506565871,secondary,0,3,73.1297094458224,40,解放南路,True,47687414, ,2305949751, ,73.030802764297192
34, , ,2302255934,secondary,0,2,91.4355866980762,40,人民中路,False,64226458, ,506565871, ,91.582376755492049
35, , ,2569177584,secondary,0, ,130.41698684461358, ,人民东路,False,147964620, ,506565871, ,130.641793399067350
36, , ,606791949,secondary,0,3,251.55857003035982,40,解放南路,True,47687414, ,506565871, ,251.616102636628910
37, , ,1913213695,secondary,0,2,194.4950832814407,40,人民中路,False,64226458, ,506565876, ,194.970661324840900
38, ,yes,1913213697,secondary,0,2,79.77197991580891,40,"['人民桥', '人民中路']",False,"[64226458, 180867669]", ,506565876, ,79.967941878318499
39, , ,506565876,secondary,0,3,168.6168000551757,40, 解放西路,True,221059606, ,2857718715, ,168.227236015435300
40, , ,2302270783,secondary,0,3,194.77476825300408,40, 解放西路,True,221059606, ,506565876, ,194.316726842287180
41, , ,544367022,primary,0, ,509.1200022300129, ,太湖大道隧道,True,221851809, ,2364344140,yes,509.036440578923650
42, , ,2364333227,primary_link,0, ,201.4452023923992, ,隧道入口,False,422925784, ,544367022,yes,201.457718508588040
43, , ,4226475380,primary,0, ,2477.7343671835583, ,太湖大道隧道,True,221851809, ,544367022,yes,2479.512865400905900
44, , ,2302257657,secondary,0, ,186.03970783376116, ,中山路,False,43316199, ,544367024, ,185.971492019538940
45, , ,2302262892,secondary,0,2,183.7931576135618, ,学前街,False,47701350, ,544367024, ,184.008868637867120
46, , ,3127333965,secondary,0, ,86.48237486877606, ,中山路,False,43316199, ,544367024, ,86.439344412688385
47, , ,2302257651,secondary,0,3,102.88422584263982, ,学前东路,True,147964625, ,544367024, ,103.031268583073650
48, , ,544367025,secondary,0, ,40.587312165052786, ,中山路,True,419888295, ,4198794507, ,40.566269214207161
49, , ,544367025,secondary,0,3,9.098955726726032,40,解放南路,True,221059607, ,4198794775, ,9.097088740892298
50, , ,1599270980,secondary,0,3,86.32073806708624,40,解放南路,True,221059607, ,544367025, ,86.141909069187165
51, ,yes,2301327842,secondary,0,2,151.85346308718096, ,"['南长街', '中山路']",True,"[146661801, 64226884, 146661798]", ,544367025, ,151.618074394645300
52, , ,544367031,secondary,0,3,16.18809190729156,40,解放南路,True,221059607, ,4198794416, ,16.152817903938328
53, , ,544367031,secondary,0,3,55.11474035873674, ,学前东路,True,147964625, ,2708471016, ,55.233622395973725
54, , ,2301249623,secondary,0,3,99.56577196815986,40,解放南路,True,47687414, ,544367031, ,99.366912983907568
55, , ,4198794340,secondary,0,3,17.010670488769243, ,学前东路,True,147964625, ,544367031, ,17.050104088945631
56, , ,544367033,secondary,0,3,14.310079686851767, ,学前东路,True,147964625, ,3017317253, ,14.342558756893313
57, , ,606944877,secondary,0,3,64.84527838836713, ,学前东路,True,147964625, ,544367033, ,64.991925765876744
58, , ,2302256000,tertiary,0, ,154.64121957267983, ,崇宁路,False,43316204, ,544367035, ,155.007723120795670
59, , ,544367035,secondary,0,3,75.92864400406665,40,解放南路,True,47687414, ,2523854801, ,75.774376656873415
60, , ,3148427953,secondary,0,3,241.85873208475732,40,解放南路,True,47687414, ,544367035, ,241.302406395495550
61, , ,2302256000,tertiary,0, ,118.34420361754809, ,崇宁路,False,43316204, ,544367037, ,118.630537448344360
62, , ,606944879,tertiary,0, ,268.7260339726448, ,崇宁路,False,43316204, ,544367037, ,269.379048926614130
63, , ,2302266415,tertiary,0, ,6.287277729820991, ,崇宁路,False,43316204, ,544367039, ,6.301719445277289
64, , ,2772826050,tertiary,0, ,110.09155021616496, ,崇宁路,False,43316204, ,544367039, ,110.356609263655470
67, , ,3025507448,secondary,0, ,161.34706106021062, ,凤宾路,False,234288109, ,606775659, ,161.111815313510190
68, , ,2864488288,secondary,0, ,108.6038106774303, ,凤宾路,False,234288109, ,606775659, ,108.448809328801290
69, , ,2308995248,secondary,0, ,224.2158858966236, ,兴源北路,False,64226741, ,606775671, ,224.324383365584200
70, , ,2308995253,secondary,0, ,297.64612324833683, ,吴桥,False,221921362, ,606775671, ,297.458460185193080
71, , ,2497068257,secondary,0, ,652.0403855261682, ,凤宾路,False,"[221921362, 234288109, 221921358]", ,606775671,yes,651.622656411352860
72, , ,2425454354,secondary,0, ,192.28235177191465, ,兴源北路,False,64226741, ,606775671, ,192.343544866863770
73, , ,1772577567,residential,0, ,73.99205635087019, ,勤学路,False,307541538, ,606778663, ,73.816278671012952
74, , ,606778663,secondary,0,3,563.6226187034051,40,解放南路,True,221059607, ,606939923, ,564.266938115692940
