OBJECTID,highway,lat,lon,osmid
427, ,31.5451502,120.2990719,2300649758
428, ,31.5370296,120.3068764,2300649766
429, ,31.5380245,120.3058894,2300649772
430, ,31.58987,120.273397,2300965078
431, ,31.5840022,120.2828065,2300974168
432, ,31.587814,120.2780423,2300975286
433, ,31.5877453,120.2779857,2300975720
434, ,31.5900269,120.2735943,2300982514
435, ,31.5937655,120.2663948,2301004250
436, ,31.5938893,120.2661362,2301004267
437, ,31.5904371,120.2631283,2301005010
438, ,31.5905835,120.2628331,2301005011
439, ,31.5824644,120.2732473,2301014007
440, ,31.5945483,120.2779539,2301024307
441, ,31.5927091,120.275907,2301024314
442, ,31.5865792,120.2907473,2301024321
443, ,31.5935573,120.2769078,2301024327
444, ,31.5866731,120.2864944,2301025577
445, ,31.5868511,120.2861922,2301025580
446, ,31.5886153,120.2881966,2301025581
447, ,31.5519683,120.2848062,2301131148
448, ,31.5393137,120.2662608,2301141053
449, ,31.5393182,120.2659101,2301141055
450, ,31.5685382,120.2814001,2301225251
451, ,31.5733252,120.3039372,2301244385
452, ,31.5725772,120.3011014,2301244387
453, ,31.5704665,120.3045124,2301244389
454, ,31.5726936,120.3037316,2301244391
455, ,31.5734029,120.3067531,2301244401
456, ,31.5806226,120.3065259,2301249616
457, ,31.5801014,120.3051458,2301249620
458, ,31.5783407,120.3048815,2301249622
459, ,31.5751674,120.304517,2301249623
460, ,31.5812943,120.3061652,2301249625
461, ,31.5748681,120.3064504,2301249630
462, ,31.5786914,120.3059994,2301249635
463, ,31.5822188,120.3052014,2301259365
464, ,31.5825357,120.302532,2301259380
465, ,31.5617492,120.3073551,2301327797
466, ,31.5636354,120.305419,2301327799
467, ,31.5663968,120.2970028,2301327817
468, ,31.5615784,120.3071473,2301327819
469, ,31.5663661,120.3024206,2301327820
470, ,31.565965,120.3006353,2301327829
471, ,31.5595462,120.3046542,2301327833
472, ,31.5650641,120.3040739,2301327837
473, ,31.5668169,120.3035144,2301327842
474, ,31.5526146,120.2893761,2301368808
475, ,31.5527798,120.290185,2301368820
476, ,31.5536562,120.2903726,2301368836
477, ,31.5805965,120.2815975,2302169011
478, ,31.578038,120.2805831,2302169015
479, ,31.5820419,120.2841246,2302169024
480, ,31.5788271,120.2869414,2302169031
481, ,31.5825695,120.2792593,2302169032
482, ,31.5779669,120.2809741,2302169687
483, ,31.5700197,120.2866611,2302172965
484, ,31.5713913,120.2837127,2302172966
485, ,31.5700977,120.2868271,2302172967
486, ,31.5712667,120.2836328,2302172968
487, ,31.5705014,120.2854321,2302172970
488, ,31.5735194,120.2797449,2302173894
489, ,31.5709419,120.2785513,2302173898
490, ,31.5787785,120.2786205,2302177320
491, ,31.5785851,120.279129,2302177325
492, ,31.5797367,120.2768022,2302177331
493, ,31.5793356,120.2765902,2302177333
494, ,31.5706073,120.2855629,2302212550
495, ,31.5716894,120.287118,2302212551
496, ,31.5709756,120.2887929,2302212554
497, ,31.5684675,120.291084,2302213244
498, ,31.5675613,120.2811294,2302215681
499, ,31.5680695,120.2846396,2302215682
500, ,31.5604583,120.2801566,2302220387
501, ,31.5612104,120.2796563,2302220394
502, ,31.5613821,120.280252,2302220398
503, ,31.5678003,120.2844886,2302221689
504, ,31.5662282,120.2833488,2302224138
505, ,31.5646451,120.2818639,2302224142
506, ,31.5661607,120.2837449,2302224143
507, ,31.5644235,120.2821094,2302224148
508, ,31.5621432,120.282559,2302228983
509, ,31.56039,120.2803325,2302228984
510, ,31.5636498,120.2772883,2302230333
511, ,31.5509661,120.2795501,2302243853
512, ,31.5434352,120.2792361,2302243856
513, ,31.5432941,120.2792358,2302243860
514, ,31.5397481,120.2798153,2302243863
515, ,31.539758,120.2799989,2302243867
516, ,31.5509177,120.279328,2302243873
517, ,31.5407891,120.2793392,2302243875
518, ,31.5800612,120.3028821,2302255934
519, ,31.5760992,120.30322,2302256000
520, ,31.5733884,120.2988673,2302257651
521, ,31.5742368,120.2966261,2302257657
522, ,31.5721184,120.2962354,2302262892
523, ,31.5691772,120.3018508,2302262900
524, ,31.5782755,120.2973544,2302266414
525, ,31.5759395,120.2978505,2302266415
526, ,31.5791657,120.2949432,2302270772
527, ,31.5789164,120.2924533,2302270774
528, ,31.5789153,120.291144,2302270776
529, ,31.5788001,120.2895685,2302270783
530, ,31.5797922,120.294834,2302272248
531, ,31.5772001,120.2927792,2302272251
532, ,31.5789089,120.2922842,2302272252
533, ,31.5820399,120.2972038,2302275874
534, ,31.5840059,120.2971084,2302275878
535, ,31.546505,120.3178877,2302444001
536, ,31.5438796,120.320346,2302444012
537, ,31.5533694,120.3106828,2302444016
538, ,31.5516207,120.3125126,2302444018
539, ,31.5463128,120.3180813,2302444024
540, ,31.5438977,120.3145158,2302446629
541, ,31.5429924,120.315482,2302446630
542, ,31.5377387,120.3085762,2302507390
543, ,31.5655811,120.3048824,2303462487
544, ,31.5810932,120.2873414,2303801232
545, ,31.5744396,120.267513,2303825665
546, ,31.5727135,120.2597697,2303825678
547, ,31.56614,120.3075762,2305246945
548, ,31.5663269,120.3077149,2305246952
549, ,31.5871215,120.2999694,2305248923
550, ,31.5825341,120.3081105,2305248931
551, ,31.5908163,120.2963589,2305248957
552, ,31.5868724,120.3006839,2305248959
553, ,31.5881414,120.2974082,2305248976
554, ,31.5884731,120.298763,2305254894
555, ,31.5865925,120.3030131,2305254895
556, ,31.5857853,120.3020341,2305257319
557, ,31.5860714,120.302642,2305257330
558, ,31.5834602,120.298227,2305257984
559, ,31.582284,120.2981895,2305257986
560, ,31.5559128,120.2981024,2305269739
561, ,31.5545439,120.296268,2305271865
562, ,31.5606645,120.2947845,2305273599
563, ,31.5601579,120.2913008,2305278004
564, ,31.5602236,120.2906968,2305278010
565, ,31.5575279,120.2889468,2305278016
566, ,31.5663784,120.2801826,2305306724
567, ,31.5657445,120.2807914,2305306727
568, ,31.5798227,120.3041208,2305949751
569, ,31.5790517,120.304569,2305949754
570, ,31.5837169,120.2821611,2306102018
571, ,31.5420872,120.3043174,2308268602
572, ,31.5438343,120.3077946,2308268604
573, ,31.5463002,120.3119322,2308268606
574, ,31.5495252,120.308523,2308277548
575, ,31.5416867,120.3095642,2308277549
576, ,31.5475265,120.3106359,2308277551
577, ,31.5442752,120.3086799,2308277555
578, ,31.5488635,120.3092238,2308277557
579, ,31.5411449,120.3102061,2308277565
580, ,31.5402382,120.3059611,2308277572
581, ,31.5475375,120.3046129,2308277574
582, ,31.5526338,120.2966386,2308291108
583, ,31.5660914,120.31027,2308337111
584, ,31.6017186,120.2864926,2308993410
585, ,31.5974501,120.2852717,2308995248
586, ,31.5966025,120.2815464,2308995253
587, ,31.5953645,120.2812388,2308995255
588, ,31.5962096,120.2870814,2308995263
589, ,31.5950424,120.2818313,2308995269
590, ,31.5925573,120.2854767,2308995458
591, ,31.5940521,120.2837081,2308995463
592, ,31.5919923,120.2844604,2308995701
593, ,31.5899602,120.2826682,2308995703
594, ,31.5907587,120.2861999,2308996050
595, ,31.6008383,120.2806494,2308996205
596, ,31.578662,120.3060122,2309167290
597, ,31.5798884,120.3053664,2309167293
598, ,31.5804811,120.3061689,2309167319
599, ,31.5803125,120.3057283,2309167325
600, ,31.5708273,120.3023502,2309481823
601, ,31.5711093,120.299728,2309481829
602, ,31.5720933,120.2902011,2309487502
603, ,31.582561,120.2930884,2309492427
604, ,31.5495976,120.2854091,2310684920
605, ,31.5460951,120.2906725,2310684926
606, ,31.5482453,120.2960521,2310684934
607, ,31.5522303,120.2867387,2310684938
608, ,31.5479505,120.2858989,2310684953
609, ,31.5446434,120.285764,2310690818
610, ,31.5435138,120.2827546,2310690848
611, ,31.5450014,120.2887627,2310690849
612, ,31.545092,120.2886855,2310690850
613, ,31.5438357,120.2856304,2310690853
614, ,31.5435416,120.2856071,2310693140
615, ,31.5433956,120.2827547,2310693156
616, ,31.5427288,120.2856159,2310695982
617, ,31.532694,120.2889532,2310696279
618, ,31.5526699,120.2897309,2310701389
619, ,31.5523705,120.2917431,2310701391
620, ,31.5525525,120.2889774,2310701395
621, ,31.5448227,120.2857901,2310702752
622, ,31.5574727,120.2869313,2310704167
623, ,31.5561402,120.2881092,2310704715
624, ,31.5342999,120.266205,2313808636
625, ,31.5350272,120.2666449,2313808924
626, ,31.5363397,120.2665487,2313809294
627, ,31.5350451,120.2661471,2313810013
628, ,31.5433121,120.2969772,2313826378
629, ,31.5439831,120.3001078,2313826384
630, ,31.542199,120.2980601,2313826386
631, ,31.5341227,120.2884414,2313828220
632, ,31.5460308,120.2907605,2313828226
633, ,31.540092,120.2903067,2313828238
634, ,31.5310616,120.2973475,2313828251
635, ,31.5369306,120.2978987,2313830605
636, ,31.5332106,120.3016095,2313830607
637, ,31.5336041,120.3011559,2313833817
638, ,31.5334063,120.3013362,2313833819
639, ,31.5286224,120.298802,2313840162
640, ,31.5313419,120.3035214,2313840169
641, ,31.5308687,120.2974956,2313840170
642, ,31.5295699,120.2982712,2313840171
643, ,31.5315902,120.2985935,2313840177
644, ,31.560169,120.311083,2315598314
645, ,31.5649384,120.3078756,2315598362
646, ,31.5638388,120.3067582,2315599369
647, ,31.5606096,120.3081674,2315601182
648, ,31.5717331,120.2991049,2315603806
649, ,31.584874,120.3225603,2315619568
650, ,31.5784093,120.3255981,2315619985
651, ,31.5791577,120.3223503,2315619993
652, ,31.5790426,120.3210721,2315619996
653, ,31.5777596,120.3223438,2315620000
654, ,31.5788526,120.3187801,2315620002
655, ,31.5847548,120.3210149,2315621527
656, ,31.5826381,120.3258373,2315622090
657, ,31.5847269,120.3206692,2315622880
658, ,31.5763516,120.3163368,2315627996
659, ,31.575282,120.3143026,2315628013
660, ,31.5666486,120.3505637,2315634133
661, ,31.5682235,120.332361,2315637298
662, ,31.5593828,120.3285508,2315641482
663, ,31.5589177,120.3288859,2315643310
664, ,31.5600534,120.3281067,2315643311
665, ,31.5557644,120.3305591,2315643312
666, ,31.5418573,120.3430789,2318358606
669, ,31.5654543,120.264254,2326982160
670, ,31.5299137,120.2817021,2326987468
671, ,31.5272389,120.2813846,2326989889
672, ,31.5618919,120.2845536,2327075150
673, ,31.5642001,120.2806061,2327083440
674, ,31.5358464,120.2877952,2330160620
675, ,31.5391322,120.3195908,2330164818
676, ,31.5415775,120.3170044,2330164840
